Version,Date,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26/10/2024,8:09:54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last 7 shifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine,Serial,Nr,Shift,Date,Time,Picks,Length,%,Weaver %,Stops,CMPX,Time,Filling,CMPX,Time,Warp,CMPX,Time,Bobbin,CMPX,Time,Hand,CMPX,Time,Other,CMPX,Time,Starts,Speed
LOOM14,424428,Current,A,26/10/2024,8:00,4412,2,76.5,76.5,3,68,148,3,68,148,0,0,0,0,0,0,0,0,0,0,0,0,0,549
LOOM14,424428,-1,B,25/10/2024,20:00,104692,47.8,39.5,39.5,57,54.4,7449,25,23.9,921,24,22.9,6059,4,3.8,218,3,2.9,228,1,1,23,46,548
LOOM14,424428,-2,A,25/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM14,424428,-3,B,24/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM14,424428,-4,A,24/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM14,424428,-5,B,23/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM14,424428,-6,A,23/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM15,424430,Current,A,26/10/2024,8:00,3657,1.3,75,75,1,27.3,70,0,0,0,1,27.3,70,0,0,0,0,0,0,0,0,0,2,523
LOOM15,424430,-1,B,25/10/2024,20:00,318134,117.1,84.1,84.1,91,28.6,6197,47,14.8,1991,31,9.7,3320,12,3.8,841,0,0,0,1,0.3,45,17,525
LOOM15,424430,-2,A,25/10/2024,8:00,43079,16,56.7,56.7,52,120.7,2574,37,85.9,1472,11,25.5,888,0,0,0,4,9.3,214,0,0,0,42,509
LOOM15,424430,-3,B,24/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM15,424430,-4,A,24/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM15,424430,-5,B,23/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM15,424430,-6,A,23/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM16,424433,Current,A,26/10/2024,8:00,4990,1.3,70.2,70.2,1,20,159,0,0,0,1,20,159,0,0,0,0,0,0,0,0,0,1,649
LOOM16,424433,-1,B,25/10/2024,20:00,429040,109,91.7,91.7,65,15.2,3045,52,12.1,1820,9,2.1,985,2,0.5,152,1,0.2,69,1,0.2,19,9,649
LOOM16,424433,-2,A,25/10/2024,8:00,421787,107.1,90.2,90.2,72,17.1,3525,49,11.6,1401,12,2.8,1531,4,0.9,172,7,1.7,421,0,0,0,18,649
LOOM16,424433,-3,B,24/10/2024,20:00,427165,108.5,91.3,91.3,64,15,3505,45,10.5,1128,17,4,2257,2,0.5,120,0,0,0,0,0,0,8,649
LOOM16,424433,-4,A,24/10/2024,8:00,414418,105.3,88.6,88.6,75,18.1,4266,51,12.3,1381,16,3.9,2344,3,0.7,379,5,1.2,162,0,0,0,16,649
LOOM16,424433,-5,B,23/10/2024,20:00,413552,105,88.5,88.5,81,19.6,4745,54,13.1,1552,25,6,3065,1,0.2,52,1,0.2,76,0,0,0,8,649
LOOM16,424433,-6,A,23/10/2024,8:00,414832,105.4,89.7,89.7,63,15.2,3937,36,8.7,772,17,4.1,2674,6,1.4,337,4,1,154,0,0,0,13,642
LOOM17,424426,Current,A,26/10/2024,8:00,6025,2.2,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601
LOOM17,424426,-1,B,25/10/2024,20:00,382027,136.4,88.4,88.4,71,18.6,4230,18,4.7,470,39,10.2,2993,12,3.1,706,1,0.3,41,1,0.3,20,15,600
LOOM17,424426,-2,A,25/10/2024,8:00,390480,139.4,90.3,90.3,64,16.4,3887,14,3.6,646,34,8.7,2300,11,2.8,615,5,1.3,326,0,0,0,7,600
LOOM17,424426,-3,B,24/10/2024,20:00,391485,139.8,90.5,90.5,58,14.8,3764,12,3.1,338,30,7.7,2542,14,3.6,754,2,0.5,130,0,0,0,6,600
LOOM17,424426,-4,A,24/10/2024,8:00,357542,127.6,85.5,85.5,65,18.2,5371,18,5,649,28,7.8,3632,11,3.1,714,8,2.2,376,0,0,0,16,600
LOOM17,424426,-5,B,23/10/2024,20:00,383608,136.9,88.7,88.7,76,19.8,4236,19,5,609,39,10.2,2702,16,4.2,871,1,0.3,26,1,0.3,28,14,600
LOOM17,424426,-6,A,23/10/2024,8:00,369306,131.8,85.6,85.6,73,19.8,4733,17,4.6,541,37,10,3041,10,2.7,642,8,2.2,479,1,0.3,30,27,599
LOOM18,424427,Current,A,26/10/2024,8:00,5499,2,93.8,93.8,1,18.2,36,0,0,0,1,18.2,36,0,0,0,0,0,0,0,0,0,0,600
LOOM18,424427,-1,B,25/10/2024,20:00,395222,145.4,91.4,91.4,66,16.7,3375,26,6.6,772,29,7.3,2071,11,2.8,532,0,0,0,0,0,0,11,600
LOOM18,424427,-2,A,25/10/2024,8:00,391934,144.2,90.6,90.6,59,15.1,3506,22,5.6,1000,25,6.4,2006,8,2,441,3,0.8,48,1,0.3,11,13,600
LOOM18,424427,-3,B,24/10/2024,20:00,381367,140.3,88.2,88.2,69,18.1,4501,23,6,1131,33,8.7,2853,10,2.6,472,0,0,0,3,0.8,45,15,600
LOOM18,424427,-4,A,24/10/2024,8:00,349692,128.7,80.9,80.9,68,19.4,7019,19,5.4,1060,36,10.3,3928,5,1.4,290,4,1.1,1641,4,1.1,100,24,600
LOOM18,424427,-5,B,23/10/2024,20:00,266643,98.6,85.3,85.3,45,16.9,3422,14,5.3,505,22,8.3,1675,5,1.9,271,4,1.5,971,0,0,0,16,600
LOOM18,424427,-6,A,23/10/2024,8:00,395719,145.6,91.5,91.5,53,13.4,3017,20,5.1,743,17,4.3,1503,11,2.8,647,2,0.5,50,3,0.8,74,17,600
LOOM19,424429,Current,A,26/10/2024,8:00,6536,2.4,95.5,95.5,1,15.3,16,1,15.3,16,0,0,0,0,0,0,0,0,0,0,0,0,1,599
LOOM19,424429,-1,B,25/10/2024,20:00,386057,142.1,89.3,89.3,75,19.4,3769,29,7.5,858,33,8.5,2416,11,2.8,445,1,0.3,30,1,0.3,20,18,600
LOOM19,424429,-2,A,25/10/2024,8:00,384353,141.4,88.9,88.9,76,19.8,4276,17,4.4,669,41,10.7,2877,14,3.6,634,4,1,96,0,0,0,15,600
LOOM19,424429,-3,B,24/10/2024,20:00,387138,142.5,89.5,89.5,67,17.3,3933,25,6.5,1072,30,7.7,2346,11,2.8,490,1,0.3,25,0,0,0,18,600
LOOM19,424429,-4,A,24/10/2024,8:00,372537,137.1,86.2,86.2,72,19.3,4192,32,8.6,1263,27,7.2,2094,10,2.7,687,2,0.5,129,1,0.3,19,34,600
LOOM19,424429,-5,B,23/10/2024,20:00,386482,142.2,89.4,89.4,76,19.7,3801,35,9.1,910,31,8,2543,6,1.6,282,0,0,0,4,1,66,20,600
LOOM19,424429,-6,A,23/10/2024,8:00,381808,140.5,88.3,88.3,80,21,3830,34,8.9,1136,32,8.4,2124,9,2.4,443,1,0.3,27,4,1,100,30,600
LOOM20,424431,Current,A,26/10/2024,8:00,6568,1.8,92.2,92.2,1,15.2,58,0,0,0,1,15.2,58,0,0,0,0,0,0,0,0,0,0,575
LOOM20,424431,-1,B,25/10/2024,20:00,363089,96.9,87.7,87.7,97,26.7,4271,62,17.1,1484,30,8.3,2490,4,1.1,256,0,0,0,1,0.3,41,25,575
LOOM20,424431,-2,A,25/10/2024,8:00,340188,90.8,82.1,82.1,82,24.1,6408,38,11.2,1446,37,10.9,4147,3,0.9,237,4,1.2,578,0,0,0,28,575
LOOM20,424431,-3,B,24/10/2024,20:00,339253,90.6,85.4,85.4,79,23.3,4537,35,10.3,929,38,11.2,3082,5,1.5,504,1,0.3,22,0,0,0,23,575
LOOM20,424431,-4,A,24/10/2024,8:00,337977,90.2,81.6,81.6,66,19.5,5205,32,9.5,1189,19,5.6,1723,13,3.8,2235,1,0.3,24,1,0.3,34,41,575
LOOM20,424431,-5,B,23/10/2024,20:00,327155,87.4,79,79,116,35.5,7282,59,18,1668,49,15,4656,7,2.1,368,1,0.3,590,0,0,0,43,574
LOOM20,424431,-6,A,23/10/2024,8:00,343248,91.6,82.9,82.9,85,24.8,5512,41,11.9,1158,34,9.9,3024,7,2,917,2,0.6,365,1,0.3,48,36,575
LOOM21,424441,Current,A,26/10/2024,8:00,5410,1.9,92.6,92.6,1,18.5,43,0,0,0,0,0,0,1,18.5,43,0,0,0,0,0,0,0,600
LOOM21,424441,-1,B,25/10/2024,20:00,408660,143.8,94.6,94.6,54,13.2,2068,22,5.4,526,15,3.7,923,14,3.4,431,2,0.5,80,1,0.2,108,10,600
LOOM21,424441,-2,A,25/10/2024,8:00,387438,136.4,89.7,89.7,69,17.8,3783,19,4.9,396,24,6.2,1970,18,4.6,770,7,1.8,634,1,0.3,13,16,600
